Site Name:,Snake Range West Pinyon-Juniper,,Snake Range West Subalpine,,Snake Range West Montane,
Deployment:,Wind velocity monitor,,Wind velocity monitor,,Wind velocity monitor,
Monitored System:,Atmosphere,,Atmosphere,,Atmosphere,
Measured Property:,Wind speed,,Wind speed,,Wind speed,
Vertical Offset from Surface:,10m height,,10m height,,10m height,
Units:,m/s,,m/s,,m/s,
Measurement Type:,Average,,Average,,Average,
Aggregation interval:,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,,1-Hour aggregates of 00:10:00 data,
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values,Aggregated Value,Number of Constituient Values
6/3/2016 1:00:00 AM,1.130564160000000000,6,0.737392480000000000,6,2.730073280000000000,6
6/3/2016 2:00:00 AM,1.339406346000000000,6,0.670932533000000000,6,1.442151040000000000,6
6/3/2016 3:00:00 AM,0.594935733000000000,6,0.521323146000000000,6,1.105604426000000000,6
6/3/2016 4:00:00 AM,0.824416266000000000,6,0.623844320000000000,6,0.870088853000000000,6
6/3/2016 5:00:00 AM,0.737541493000000000,6,0.628687253000000000,6,0.979017600000000000,6
6/3/2016 6:00:00 AM,0.384603413000000000,6,0.912855680000000000,6,1.030650720000000000,6
6/3/2016 7:00:00 AM,0.520801600000000000,6,0.951450133000000000,6,1.008820266000000000,6
6/3/2016 8:00:00 AM,1.081762293000000000,6,1.146285066000000000,6,0.317323893000000000,6
6/3/2016 9:00:00 AM,1.902825760000000000,6,0.986989813000000000,6,0.744098080000000000,6
6/3/2016 10:00:00 AM,1.536774506000000000,6,1.168711573000000000,6,0.840509706000000000,6
6/3/2016 11:00:00 AM,2.014511253000000000,6,1.392008053000000000,6,1.221238773000000000,6
6/3/2016 12:00:00 PM,2.108464160000000000,6,1.653526453000000000,6,1.346260960000000000,6
6/3/2016 1:00:00 PM,1.993723893000000000,6,2.398593120000000000,6,1.505109173000000000,6
6/3/2016 2:00:00 PM,2.249803306000000000,6,1.775344853000000000,6,1.399384213000000000,6
6/3/2016 3:00:00 PM,3.014316213000000000,6,1.901335626000000000,6,1.965113333000000000,6
6/3/2016 4:00:00 PM,2.755703573000000000,6,1.100910506000000000,6,1.780038773000000000,6
6/3/2016 5:00:00 PM,3.370085546000000000,6,1.684297706000000000,6,2.038800426000000000,6
6/3/2016 6:00:00 PM,3.078019413000000000,6,2.597749440000000000,6,2.502753440000000000,6
6/3/2016 7:00:00 PM,4.799719466000000000,6,3.215707733000000000,6,4.067616960000000000,6
6/3/2016 8:00:00 PM,4.686469333000000000,6,3.642928960000000000,6,4.456243733000000000,6
6/3/2016 9:00:00 PM,3.829270133000000000,6,3.121903840000000000,6,4.063593600000000000,6
6/3/2016 10:00:00 PM,1.231967733000000000,6,2.801376160000000000,6,3.863021653000000000,6
6/3/2016 11:00:00 PM,3.200284853000000000,6,2.909783360000000000,6,3.792985386000000000,6
6/4/2016 12:00:00 AM,2.703474400000000000,6,2.807932746000000000,6,3.909364800000000000,6
6/4/2016 1:00:00 AM,1.598838560000000000,6,2.870369333000000000,6,3.522079146000000000,6
6/4/2016 2:00:00 AM,1.155598400000000000,6,2.612650773000000000,6,2.978180480000000000,6
